Gene,SuperPathway,SubPathway,KOAnnot,ERR688534,ERR688548,ERR688557,ERR688560,ERR688561,ERR688574,ERR688580,ERR688581,ERR688589,ERR688613,ERR688615,ERR688623,ERR688627,ERR688632,ERR688635,ERR688638,ERR688642,ERR688650,ERR710424,ERR710426,ERR710427,ERR710428,ERR710429,ERR710430,ERR710431,ERR710432
K00015,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,gyaR; glyoxylate reductase,1.95E-05,5.08E-05,2.76E-05,1.44E-05,0,3.38E-05,0.000106803,2.42E-05,2.05E-05,2.27E-05,1.3E-05,2.68E-05,7.73E-05,5.12E-05,0,2.46E-05,6.16E-05,4.79E-05,3.22E-05,3.29E-05,5.15E-05,3.9E-05,7.42E-05,4.25E-05,5.93E-05,0
K00016,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,LDH ldh; L-lactate dehydrogenase,0.000595425,0.000648912,0.0007378,0.000820241,0.000731092,0.000630926,0.000557999,0.000516675,0.000565138,0.00069287,0.000859644,0.00065454,0.000586473,0.000544755,0,0.000629358,0.000531502,0.000514858,0.000423858,0.000541819,0.000518667,0.000515576,0.000588789,0.000663054,0.000638236,0.000675432
K00018,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,hprA; glycerate dehydrogenase,0.000387505,0.000509297,0.000378706,0.000422687,0.000174996,0.000526136,0.000509971,0.00045161,0.000493517,0.000446173,0.000381166,0.000523758,0.000518945,0.000526454,0,0.000308504,0.000550754,0.000478852,0.000462313,0.000490073,0.000454521,0.000423817,0.000360531,0.000518532,0.000393378,0.000439754
K00019,Carbohydrate metabolism,Butanoate_metabolism,E1.1.1.30 bdh; 3-hydroxybutyrate dehydrogenase,2.52E-05,4.18E-05,0,5.27E-05,7.18E-05,6.26E-05,0.000100776,6.02E-05,3.22E-05,7.54E-05,0,2.46E-05,8.96E-05,9.29E-05,0,0,5.92E-05,4.94E-05,4.04E-05,8.29E-05,6.51E-05,4.05E-05,6.3E-05,3.53E-05,4.57E-05,7.14E-05
K00022,Carbohydrate metabolism,Butanoate_metabolism,HADH; 3-hydroxyacyl-CoA dehydrogenase,0,2.31E-05,0,0,0,1.13E-05,4.05E-05,5.95E-06,2.53E-05,1.51E-05,0,6.61E-06,5.47E-06,5.62E-06,0,0,7.63E-06,1.6E-05,0,8.42E-06,1.14E-05,1.29E-05,7.15E-06,1.48E-05,0,1.12E-05
K00023,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,E1.1.1.36 phbB; acetoacetyl-CoA reductase,6.66E-05,6.08E-05,5.61E-05,5.57E-05,0.000152233,5.2E-05,5.41E-05,8.75E-05,8.46E-05,8.07E-05,3.44E-05,0.000124836,8.77E-05,0.000120616,0,0,0.000133639,4.22E-05,0.000128621,8.93E-05,0.000128875,0.000112449,0.000105309,9.54E-05,0.000145671,9.01E-05
K00024,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,mdh; malate dehydrogenase,0.000231349,0.000160396,8.28E-05,7.14E-05,0.000114328,0.000170756,0.000203926,0.000297352,0.000140535,4.59E-05,0.000173485,0.000236884,0.000241485,0.000269636,0,0.000301271,0.000326856,0.000282069,0.000551147,0.00019271,0.000242136,0.000257207,0.000179324,0.00011602,0.000240329,0.000356724
K00027,Carbohydrate metabolism,Pyruvate_metabolism,ME2 sfcA maeA; malate dehydrogenase (oxaloacetate-decarboxylating),0.00046447,0.00048769,0.000437214,0.000448939,0.00033141,0.000501842,0.000474316,0.000440763,0.000438576,0.000494189,0.000471668,0.000477591,0.000463982,0.000444954,0,0.000263078,0.0004308,0.000488747,0.000441236,0.000421547,0.000440072,0.000402135,0.000482349,0.000578537,0.000476616,0.000411973
K00028,Carbohydrate metabolism,Pyruvate_metabolism,E1.1.1.39; malate dehydrogenase (decarboxylating),8.37E-06,0,1.15E-05,0,0,9.42E-06,6.78E-06,2.54E-06,0,9.5E-06,5.46E-06,2.82E-06,0,4.75E-06,0,2.08E-05,0,0,0,3.5E-06,2.41E-06,5.44E-06,3.05E-06,0,0,0
K00029,Carbohydrate metabolism,Pyruvate_metabolism,E1.1.1.40 maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+),0.000103704,6.03E-05,6.03E-05,3.37E-05,2.72E-05,0.000110415,0.000107918,8.33E-05,7.11E-05,3.18E-05,3.65E-05,7.37E-05,0.000103752,0.000116654,0,0.00013563,7.81E-05,7.94E-05,0.000199345,9.46E-05,0.000112556,8.83E-05,9.22E-05,3.73E-05,9.17E-05,0.000158807
