ID	CSM5LLGB	CSM6J2H9	CSM79HGR	ESM5GEYX	ESM5GEYY	ESM5GEZ1	ESM5MEAB	ESM5MEB9	ESM5MEC7	ESM5MEDP	ESM5MEE2	ESM5MEEJ	ESM718U9	ESM7F5AE	HSM5MD6S	HSM67VDR	HSM67VDT	HSM6XRQC	HSM6XRTE	HSM7CZ2X	HSM7J4JV	HSMA33J1
gi|143951|gb|AAA22912.1|	1.0	0.0	2.0	2.0	4.0	1.0	0.0	3.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	0.0	0.0
gi|143972|gb|AAA22924.1|	0.0	0.0	2.0	0.0	4.0	1.0	2.0	4.0	5.0	2.0	2.0	4.0	3.0	2.0	5.0	3.0	5.0	2.0	3.0	2.0	2.0	3.0
gi|144153|gb|AAA23005.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|144155|gb|AAA20893.1|	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|144158|gb|AAA23007.1|	1.0	0.0	4.0	12.0	8.0	13.0	2.0	5.0	5.0	3.0	9.0	7.0	0.0	3.0	6.0	3.0	2.0	0.0	5.0	4.0	4.0	6.0
gi|144162|gb|AAA23008.1|	0.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	2.0	0.0	4.0	2.0	0.0	1.0	1.0	3.0	2.0	0.0	0.0	2.0	1.0	1.0
gi|144166|gb|AAA63610.1|	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	1.0	3.0	2.0	2.0	0.0	0.0	1.0	0.0	0.0
gi|144225184|emb|CAJ01377.1|	0.0	0.0	7.0	2.0	6.0	2.0	2.0	2.0	8.0	5.0	4.0	7.0	2.0	4.0	4.0	6.0	6.0	2.0	8.0	2.0	1.0	2.0
gi|144225190|emb|CAJ01380.1|	0.0	0.0	2.0	1.0	2.0	0.0	2.0	1.0	1.0	2.0	1.0	2.0	0.0	1.0	1.0	1.0	2.0	0.0	2.0	3.0	1.0	0.0
gi|144727|gb|AAA23205.1|	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|144746|gb|AAA23216.1|	0.0	0.0	1.0	3.0	2.0	7.0	3.0	2.0	4.0	1.0	4.0	2.0	0.0	1.0	5.0	4.0	1.0	1.0	2.0	3.0	2.0	4.0
gi|144751|gb|AAA23219.1|	0.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|144759|gb|AAA23221.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|144790|gb|AAA23230.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
gi|144839|gb|AAA23249.1|	1.0	0.0	1.0	1.0	1.0	4.0	0.0	2.0	1.0	1.0	2.0	2.0	0.0	2.0	2.0	2.0	1.0	0.0	1.0	0.0	0.0	2.0
gi|14488127|emb|CAC42120.1|	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|145388|gb|AAA16430.1|	0.0	0.0	2.0	2.0	6.0	3.0	1.0	2.0	2.0	1.0	7.0	1.0	0.0	1.0	5.0	0.0	2.0	0.0	3.0	0.0	3.0	4.0
gi|145409628|gb|ABP66632.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|145410149|gb|ABP67153.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
gi|145419|gb|AAA23511.1|	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0
gi|145580887|gb|ABP87597.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
gi|14582612|gb|AAK69556.1|AF290982_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|145848|gb|AAA83849.1|	1.0	0.0	0.0	0.0	2.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
gi|146023|gb|AAA23810.1|	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
gi|146139|gb|AAA23870.1|	0.0	0.0	0.0	1.0	4.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
gi|146142|gb|AAA23872.1|	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	3.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
gi|146148656|gb|ABQ02267.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|14626029|emb|CAC44015.1|	0.0	0.0	1.0	1.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
