	ID	CSM5LLGB	CSM6J2H9	CSM79HGR	ESM5GEYX	ESM5GEYY	ESM5GEZ1	ESM5MEAB	ESM5MEB9	ESM5MEC7	ESM5MEDP	ESM5MEE2	ESM5MEEJ	ESM718U9	ESM7F5AE	HSM5MD6S	HSM67VDR	HSM67VDT	HSM6XRQC	HSM6XRTE	HSM7CZ2X	HSM7J4JV	HSMA33J1
551	gi|4585357|gb|AAD25394.1|	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
552	gi|4586418|dbj|BAA76396.1|	0.0	0.0	1.0	2.0	1.0	2.0	2.0	3.0	1.0	2.0	3.0	2.0	0.0	2.0	1.0	3.0	3.0	0.0	2.0	2.0	0.0	0.0
553	gi|4589389|dbj|BAA76741.1|	0.0	0.0	1.0	1.0	3.0	0.0	0.0	2.0	1.0	1.0	1.0	2.0	0.0	2.0	1.0	0.0	3.0	0.0	3.0	1.0	1.0	0.0
554	gi|45966|emb|CAA38693.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
555	gi|45968|emb|CAA33461.1|	0.0	0.0	2.0	7.0	1.0	5.0	0.0	2.0	1.0	1.0	2.0	1.0	0.0	2.0	3.0	4.0	0.0	0.0	1.0	0.0	0.0	1.0
556	gi|466656|gb|AAB18495.1|	0.0	0.0	0.0	1.0	2.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
557	gi|466669|gb|AAB18508.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
558	gi|466671|gb|AAB18510.1|	0.0	0.0	0.0	0.0	1.0	1.0	0.0	4.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
559	gi|466709|gb|AAB18548.1|	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
560	gi|466758|gb|AAB18597.1|	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
561	gi|466759|gb|AAB18598.1|	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
562	gi|4689100|gb|AAD27759.1|AF073178_1	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0
563	gi|4704714|gb|AAD28227.1|AF121254_9	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
564	gi|47077341|dbj|BAD18845.1|	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
565	gi|47238009|gb|AAT15258.1|	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
566	gi|473272|gb|AAA50597.1|	0.0	0.0	4.0	1.0	5.0	1.0	2.0	4.0	3.0	1.0	4.0	7.0	1.0	2.0	4.0	4.0	7.0	1.0	1.0	3.0	0.0	0.0
567	gi|474177|emb|CAA55409.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
568	gi|47607483|gb|AAT36643.1|	0.0	0.0	1.0	2.0	3.0	2.0	0.0	3.0	4.0	1.0	1.0	4.0	1.0	3.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	0.0
569	gi|47716661|gb|AAT37531.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
570	gi|47717086|gb|AAT37673.1|	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
571	gi|4836167|gb|AAD30363.1|AF078739_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
572	gi|4836215|gb|AAD30387.1|AF096862_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
